Passenger 1 ID,Passenger 2 ID,Number of flights together
10702,10719,6
8017,10267,6
95,1635,6
759,716,6
13564,9540,6
6113,2201,6
3447,3446,6
398,10389,6
6956,6927,6
3021,2201,6
625,441,6
7636,1321,6
391,11649,6
2867,2789,6
5743,5731,6
915,2789,6
659,605,6
6809,6017,6
2150,4142,6
6848,6824,6
378,758,6
7662,4468,6
8501,10509,6
9063,11275,6
4053,4025,6
130,2437,6
7662,5482,6
5589,5525,6
5423,975,6
6729,7209,6
8485,8411,6
915,2969,6
3735,7685,6
6813,3418,6
10016,9659,6
4042,4316,6
1884,1865,6
8363,6447,6
2068,2097,6
4066,4080,6
10334,1389,6
4249,2857,6
2068,2408,6
2857,2906,6
3597,3507,6
10764,10778,6
5522,4451,6
6111,5116,6
5787,5766,6
4309,4353,6
6039,6049,6
7007,11014,6
8211,4090,6
2271,3528,6
9098,9069,6
8373,8326,6
11046,11074,6
3947,3919,6
4990,4412,6
292,763,6
288,2683,6
2476,2489,6
7540,4399,6
8190,2857,6
2926,2857,6
772,760,6
6733,5634,6
2345,61,6
3529,3513,6
354,1031,6
3330,7820,6
1635,5482,6
2548,7194,6
5481,2759,6
1073,376,6
4066,4339,6
8289,8190,6
5757,3953,6
5798,5706,6
10716,1822,6
2759,4316,6
4046,4057,6
11211,12323,6
9101,5201,6
10756,10798,6
10089,1747,6
10017,4010,6
4707,9441,6
915,407,6
6001,6017,6
5954,5734,6
1581,333,6
4316,975,6
6036,8045,6
5443,2717,6
7506,2504,6
1598,3940,6
6016,6001,6
5443,5491,6
8268,2861,6
1677,4249,6
979,1377,6
7866,5411,6
10727,8260,6
6096,6049,6
5522,7209,6
874,5491,6
5757,12244,6
772,1095,6
2185,942,6
2544,4632,6
2174,2117,6
6096,5491,6
7866,7662,6
10767,10702,6
2294,1884,6
6885,6884,6
92,4283,6
1666,4339,6
11593,12516,6
2655,1542,6
2959,4395,6
324,761,6
855,10899,6
12594,12516,6
4316,2759,6
2709,1481,6
392,382,6
4034,2231,6
2699,1014,6
6752,5592,6
6064,4674,6
724,763,6
10727,10737,6
4017,4353,6
10229,919,6
556,1464,6
8986,8936,6
726,737,6
8590,7643,6
2354,2345,6
5707,6936,6
6084,211,6
2225,2271,6
10460,5116,6
709,706,6
3367,758,6
8114,7507,6
3963,4593,6
3681,3698,6
2090,3028,6
953,6084,6
3819,3872,6
13221,7721,6
23,9988,6
4275,5356,6
9049,3249,6
4552,9410,6
4042,4399,6
4820,6729,6
8983,8979,6
4990,1865,6
8983,8904,6
10756,10762,6
3491,3414,6
167,10899,6
5989,2939,6
2000,1966,6
650,299,6
4774,4712,6
9991,10458,6
650,610,6
2645,1012,6
11817,11883,6
9688,8704,6
2458,2437,6
928,1371,6
2945,8729,6
9019,9009,6
4042,4080,6
4170,9522,6
751,366,6
6832,6824,6
3421,3188,6
5412,5431,6
3527,4593,6
288,1343,6
3477,1053,6
701,286,6
5002,6823,6
5771,5720,6
5431,5448,6
4541,2504,6
1849,9066,6
1637,8729,6
7872,5411,6
6113,3090,6
4990,2773,6
2759,5500,6
930,2939,6
369,333,6
1544,3440,6
5907,5919,6
3861,2596,6
7810,3802,6
4025,4066,6
2941,1337,6
6077,6069,6
904,2927,6
1034,3015,6
4017,4080,6
4316,4373,6
7794,7748,6
3883,9026,6
8017,8519,6
809,826,6
1001,716,6
2354,4774,6
11276,3361,6
5093,4451,6
928,4025,6
9752,6783,6
1240,4070,6
4846,3837,6
3021,3078,6
9046,9480,6
1013,764,6
5467,4593,6
8529,7846,6
10716,10719,6
3544,2294,6
4359,6783,6
8539,3309,6
2988,4344,6
6077,6049,6
5421,5401,6
5481,5440,6
1063,3967,6
701,716,6
2531,2600,6
3120,5771,6
1031,1029,6
5548,5540,6
391,9988,6
768,791,6
2926,3503,6
2223,2295,6
8078,9363,6
5964,5977,6
13221,13296,6
610,255,6
915,4016,6
4319,3343,6
288,2097,6
9810,8014,6
4217,7579,6
5081,9522,6
9693,9622,6
4200,1413,6
8036,8006,6
1677,2625,6
6535,10196,6
11296,11276,6
1208,5789,6
2945,4774,6
8529,3513,6
8363,4056,6
334,1007,6
7484,7406,6
6897,6855,6
10017,10023,6
11571,8196,6
2467,2437,6
10716,10767,6
752,2909,6
755,1095,6
8040,11939,6
5795,5787,6
2294,4674,6
7679,9659,6
3361,6777,6
5481,6017,6
7835,8355,6
8289,7685,6
10576,10548,6
8591,8803,6
6800,12531,6
5771,5798,6
2532,4584,6
4945,4646,6
915,1696,6
10331,10328,6
10067,356,6
660,692,6
7506,9704,6
10016,4010,6
4031,4056,6
272,3905,6
9752,9828,6
4080,4399,6
8326,8961,6
1464,1337,6
5798,5720,6
2759,1696,6
5494,4316,6
8190,5509,6
10616,6447,6
5530,7677,6
8995,8965,6
392,362,6
2789,1696,6
9049,4165,6
1733,5869,6
7872,7820,6
2545,3665,6
10394,10373,6
6827,5966,6
9063,2097,6
10016,10023,6
10716,11883,6
6096,6017,6
8048,3356,6
1562,7801,6
9620,9619,6
2717,4395,6
6441,281,6
8995,8969,6
4827,10022,6
2588,1591,6
10850,5538,6
1998,1928,6
8596,8679,6
4316,4339,6
1208,441,6
290,602,6
6016,4674,6
8976,8906,6
733,752,6
4744,1320,6
407,2789,6
1219,1261,6
11280,9421,6
391,4646,6
8529,9355,6
3637,3609,6
11225,9359,6
774,749,6
2857,17,6
772,368,6
1982,5096,6
10352,10373,6
6857,1769,6
4135,4139,6
3689,3700,6
4774,6560,6
6447,3418,6
13848,13822,6
4957,6067,6
4184,7733,6
6063,6017,6
1056,1023,6
9049,6030,6
3064,3028,6
10454,10439,6
1692,2560,6
7790,7774,6
763,716,6
7685,1646,6
10716,8030,6
10430,10439,6
8290,10350,6
736,1041,6
3104,3162,6
620,8644,6
813,8961,6
10313,10373,6
10716,4451,6
7866,8190,6
6016,6017,6
4444,6084,6
5440,4316,6
8986,8969,6
4903,2509,6
2905,2988,6
2905,1332,6
2759,4399,6
2906,441,6
2759,5443,6
755,716,6
11807,3665,6
4066,4083,6
724,772,6
165,3609,6
833,888,6
5375,3896,6
760,701,6
7662,1208,6
2243,12248,6
4016,4059,6
2945,3187,6
6447,6100,6
8969,8936,6
793,1038,6
5503,7560,6
8948,8960,6
4917,5748,6
6063,4674,6
10389,10373,6
606,625,6
13492,2068,6
5233,3536,6
8961,3590,6
8295,8222,6
6805,7810,6
391,9954,6
3554,141,6
1437,1020,6
795,749,6
2545,8594,6
392,1849,6
4025,4339,6
915,4013,6
659,677,6
4066,4044,6
4373,4353,6
7866,5482,6
2062,2075,6
8024,6084,6
2857,1389,6
5490,4395,6
755,763,6
2485,2497,6
10576,6447,6
8158,9874,6
7662,8158,6
2272,187,6
3104,3180,6
7866,7605,6
2076,7612,6
5711,2790,6
1356,1393,6
247,1532,6
979,910,6
8912,1762,6
7505,3356,6
4388,4316,6
8871,8810,6
7816,7892,6
3503,7872,6
395,362,6
2478,2500,6
4981,3615,6
1247,1287,6
7685,441,6
915,2941,6
3123,299,6
950,2734,6
6548,6522,6
10716,10796,6
10714,10719,6
3021,8584,6
3760,3741,6
4990,3576,6
1955,1337,6
2792,2728,6
809,873,6
4713,9421,6
4671,2728,6
10764,4451,6
5423,8353,6
7662,1646,6
2278,2244,6
6061,6067,6
11513,2035,6
2781,2728,6
4686,4661,6
904,2922,6
364,366,6
477,5491,6
1371,407,6
9642,9622,6
1772,7327,6
928,4395,6
3123,215,6
4092,1342,6
9601,3844,6
7662,2776,6
1651,1046,6
8557,2728,6
5509,4468,6
5744,5720,6
7662,3278,6
3002,3028,6
8128,8684,6
3104,2573,6
4009,4012,6
3576,3544,6
610,684,6
8562,6447,6
8961,6084,6
247,3477,6
752,739,6
4609,4656,6
7243,8007,6
10785,4451,6
724,1095,6
4395,4700,6
1860,10024,6
2857,1432,6
407,2511,6
2747,1158,6
7662,7872,6
1276,4235,6
10785,7560,6
6908,6927,6
9601,9634,6
13564,13221,6
8256,8269,6
8548,8577,6
7508,756,6
14069,14082,6
2354,497,6
3994,2620,6
2781,1828,6
4083,4011,6
11817,11803,6
12323,13221,6
4990,5491,6
6096,6001,6
10899,10833,6
8986,8979,6
724,746,6
288,3801,6
3571,3578,6
10716,1966,6
5443,5440,6
2024,9645,6
7082,8353,6
1452,2035,6
4249,3418,6
3677,7507,6
7846,2468,6
731,749,6
479,6529,6
855,9282,6
7898,7560,6
5724,5720,6
8089,8007,6
11939,11923,6
10702,10310,6
3278,2482,6
746,764,6
10365,3665,6
479,8679,6
5423,8297,6
3420,8704,6
6515,5238,6
4364,6053,6
4275,7520,6
11853,11885,6
4483,3180,6
928,4316,6
4053,4316,6
1023,368,6
5412,5404,6
4200,10243,6
7662,3503,6
9227,8838,6
7099,7114,6
3545,3512,6
5771,5744,6
2841,4774,6
8093,8007,6
736,7579,6
5792,5708,6
264,9357,6
1351,993,6
5490,4700,6
8590,8045,6
12516,10767,6
2867,2816,6
6063,5491,6
3491,368,6
7868,441,6
6447,6813,6
479,8596,6
1436,7476,6
8363,8775,6
9600,5009,6
364,392,6
6113,9522,6
5498,1484,6
11914,11965,6
7662,7605,6
4042,4013,6
13637,12299,6
930,1818,6
11917,1464,6
5668,1389,6
10394,6548,6
2446,2465,6
1812,10795,6
7162,2504,6
4012,2941,6
867,3707,6
3123,3104,6
4827,1860,6
761,716,6
9385,9331,6
2354,3187,6
11007,5016,6
709,791,6
4816,10022,6
731,719,6
7727,7780,6
10244,13163,6
10576,9522,6
1033,10767,6
904,938,6
11211,5101,6
385,313,6
13296,13249,6
7832,1329,6
8127,8110,6
6813,8353,6
724,1023,6
11817,11880,6
4012,4083,6
10377,7810,6
4249,3503,6
4820,4451,6
5481,3576,6
3677,1464,6
10714,10702,6
2262,2247,6
8995,8920,6
11871,10767,6
4080,4339,6
248,275,6
3615,10767,6
2233,2298,6
13637,1200,6
4042,4395,6
1684,2504,6
8093,8068,6
5412,5429,6
2175,2197,6
10559,7956,6
1051,1038,6
4053,1337,6
901,2906,6
8871,12298,6
4296,4243,6
5481,5423,6
368,739,6
5706,5720,6
1208,7820,6
2867,2969,6
4969,5443,6
4854,12841,6
703,737,6
2560,3940,6
4170,7747,6
360,334,6
4945,4554,6
9793,9704,6
95,441,6
2294,6017,6
1041,2489,6
4044,4083,6
928,5423,6
8403,8411,6
7662,625,6
4309,4339,6
5693,2927,6
1696,4011,6
5021,4070,6
8289,8209,6
8042,7948,6
4364,5016,6
3173,2492,6
2411,2465,6
755,761,6
4388,4013,6
915,2717,6
95,1646,6
4042,4388,6
8119,8167,6
6294,4627,6
11438,11719,6
2539,490,6
1484,4399,6
4388,4399,6
622,1089,6
4042,2969,6
1056,1053,6
4364,4011,6
3525,3585,6
1449,7693,6
1710,2159,6
10397,10373,6
2001,2460,6
4494,1276,6
5481,5443,6
10389,2960,6
780,1033,6
9956,2713,6
1677,1635,6
6121,6177,6
4025,1484,6
292,286,6
8461,5795,6
385,309,6
14060,14011,6
3735,1646,6
4316,4083,6
3937,4641,6
1548,1572,6
4650,2581,6
4309,4399,6
9517,9505,6
2886,1208,6
9777,10661,6
4053,4399,6
1388,7118,6
1206,1288,6
740,733,6
9271,3078,6
4523,3492,6
1982,4076,6
9063,1464,6
6897,6870,6
10862,6823,6
8562,2201,6
930,1482,6
7641,7693,6
6072,2160,6
4025,4016,6
12323,8446,6
6853,6854,6
10576,10644,6
3104,2554,6
11946,11472,6
1240,2437,6
4373,4316,6
13668,13657,6
751,771,6
10083,10016,6
8988,350,6
6805,3286,6
5792,5727,6
13899,13842,6
1064,7579,6
1947,1984,6
11296,3361,6
3123,3180,6
5450,4632,6
2922,2927,6
1666,2511,6
763,795,6
3153,7810,6
4009,4044,6
10377,5544,6
165,3615,6
755,733,6
4249,7605,6
9282,9522,6
364,1023,6
4053,4011,6
3002,3187,6
8190,441,6
4034,8983,6
4025,4052,6
9950,9988,6
905,910,6
5771,5769,6
1646,441,6
92,6084,6
5093,10310,6
2482,2973,6
4224,4245,6
6931,3650,6
4080,4044,6
9901,9928,6
3590,5482,6
9252,7727,6
6836,6824,6
6293,760,6
11211,6591,6
5989,5949,6
3295,3670,6
746,752,6
4053,4083,6
10349,10322,6
10384,10356,6
755,771,6
2090,3187,6
4013,4011,6
5505,5566,6
1766,2988,6
9769,2323,6
4066,4009,6
6077,6017,6
8961,10346,6
5383,1982,6
6003,1078,6
4496,4467,6
950,2993,6
5544,5526,6
2776,2783,6
6293,3703,6
709,739,6
915,4353,6
11101,11176,6
8289,1646,6
8017,6447,6
391,2596,6
2945,2024,6
6522,1378,6
928,2939,6
724,1001,6
4009,4011,6
3153,7505,6
915,1464,6
5499,5432,6
5978,2645,6
1484,2969,6
4468,441,6
1452,1554,6
11853,11868,6
1678,2097,6
11171,1410,6
6077,5491,6
374,366,6
4388,4339,6
5490,4399,6
3862,11126,6
6096,3576,6
1677,3590,6
1562,10758,6
92,9069,6
8190,3330,6
9482,9822,6
11225,4827,6
650,684,6
7872,2776,6
3421,1532,6
928,2867,6
772,759,6
6809,6898,6
324,362,6
10757,517,6
2911,2988,6
4025,4353,6
8556,9101,6
4441,4283,6
11276,6777,6
4607,4942,6
7868,8353,6
11571,7593,6
5989,2886,6
5683,9619,6
1013,1053,6
4607,2773,6
3104,248,6
10046,9363,6
3735,8353,6
364,1095,6
11686,11450,6
5421,5495,6
10786,4034,6
629,3106,6
2068,4552,6
1146,3147,6
2926,6813,6
6896,5977,6
392,1637,6
6987,10037,6
5330,7560,6
4376,4040,6
11593,10767,6
2412,2497,6
670,624,6
11225,10022,6
997,2993,6
6323,5007,6
14069,14087,6
8363,10661,6
975,2939,6
4056,10661,6
368,716,6
364,1001,6
7098,8266,6
4017,4399,6
2548,8763,6
7253,7291,6
7076,7579,6
1447,4441,6
9600,9862,6
7191,5116,6
2354,8729,6
392,355,6
10716,5096,6
42,13249,6
7898,4451,6
2780,2620,6
2182,2165,6
4523,1662,6
6242,5819,6
2511,407,6
2674,2667,6
4200,7859,6
746,1095,6
9466,10767,6
4983,6418,6
759,366,6
4614,4700,6
5416,5423,6
1475,9522,6
1371,1484,6
8363,211,6
9789,9723,6
8810,2964,6
3476,3493,6
755,366,6
2486,2465,6
4556,822,6
7662,5411,6
3405,701,6
9366,926,6
4606,839,6
915,1337,6
5911,5910,6
11817,11876,6
5494,5440,6
4042,975,6
3330,441,6
356,8446,6
772,1023,6
4178,147,6
7810,3356,6
1138,10037,6
11450,13731,6
8411,2939,6
6729,2231,6
3293,1554,6
10756,10799,6
5483,5410,6
2207,10818,6
4761,1158,6
3237,3443,6
4053,975,6
11600,10989,6
10716,10702,6
4541,9540,6
4309,4013,6
3093,8353,6
2254,7193,6
930,4013,6
5198,8979,6
4046,4034,6
9954,9992,6
751,733,6
11211,2964,6
2588,8057,6
1013,1031,6
13781,13731,6
4012,4011,6
1651,4646,6
2959,4388,6
4609,4988,6
7662,441,6
7162,167,6
1619,438,6
5946,5775,6
746,364,6
690,3117,6
174,3187,6
2273,2963,6
928,1696,6
928,2759,6
4881,8803,6
4053,4052,6
4917,9359,6
5546,5544,6
8158,7505,6
8089,8073,6
10083,10037,6
4059,4016,6
793,1007,6
4820,191,6
4606,3020,6
7099,5212,6
4025,4063,6
950,959,6
6408,6469,6
3123,255,6
712,795,6
4990,6049,6
740,1095,6
2759,1484,6
1351,979,6
1075,1068,6
3021,8596,6
1982,1963,6
10371,10322,6
11450,12600,6
733,739,6
2529,4852,6
288,942,6
12323,13296,6
709,752,6
7194,7114,6
8986,8904,6
2674,1576,6
2269,419,6
2655,1576,6
4373,4395,6
5500,4316,6
876,888,6
2717,4316,6
10368,10346,6
1056,752,6
3963,8684,6
624,2030,6
4373,5443,6
1769,7373,6
3920,3937,6
6039,4674,6
92,7810,6
2221,3536,6
2717,2511,6
1733,6507,6
11280,6208,6
11275,7507,6
915,4373,6
501,10762,6
5761,5720,6
7318,7770,6
4042,4012,6
8679,6447,6
4080,4083,6
9366,9363,6
8529,11834,6
382,392,6
4046,4010,6
10616,8679,6
1056,1057,6
5332,7877,6
2068,3802,6
2959,1371,6
6096,2773,6
2117,241,6
4092,4040,6
2411,2446,6
6523,9987,6
5706,5761,6
556,7507,6
2545,2522,6
10954,10212,6
293,248,6
9282,10833,6
915,1666,6
734,760,6
940,993,6
8257,6584,6
2717,1482,6
4969,1884,6
3123,684,6
486,3249,6
7788,7789,6
9665,5096,6
6548,1378,6
746,1053,6
2111,2137,6
4682,4700,6
4309,4011,6
1056,1001,6
4042,1484,6
382,7209,6
7662,7820,6
802,831,6
11101,11198,6
13564,8446,6
4316,4353,6
5636,5387,6
5423,6750,6
5414,4339,6
2759,975,6
2458,2062,6
733,727,6
1371,2717,6
2160,2110,6
628,12841,6
746,760,6
6729,191,6
6777,1966,6
8851,4945,6
915,1371,6
8190,5482,6
1994,6720,6
4092,4032,6
10862,5002,6
2776,441,6
382,191,6
1218,4514,6
6052,6100,6
4080,1696,6
2906,5482,6
272,679,6
915,4309,6
755,759,6
4009,2789,6
9410,919,6
1371,1337,6
8411,6100,6
4011,4044,6
4820,1715,6
3589,9258,6
10326,4774,6
6447,6052,6
1692,443,6
6707,4249,6
366,374,6
4990,4674,6
1343,2097,6
624,9532,6
997,950,6
13221,13249,6
11871,4070,6
368,1001,6
2108,2117,6
4468,8158,6
9600,7832,6
2294,5443,6
5467,3670,6
9828,2097,6
7209,10762,6
3777,6937,6
9069,7810,6
740,716,6
477,6874,6
2867,4395,6
8961,211,6
7685,8353,6
8171,8137,6
6889,6832,6
1829,10767,6
4294,4260,6
5740,5742,6
7799,2960,6
1378,1041,6
3367,6447,6
7629,4550,6
8596,8584,6
10714,4451,6
915,1484,6
736,7098,6
5456,4399,6
7593,9077,6
5758,5741,6
3590,7605,6
3503,3590,6
6418,5596,6
2945,8262,6
2560,443,6
4541,10128,6
1056,739,6
3278,3300,6
5459,1464,6
8399,5669,6
3880,13731,6
3123,248,6
4717,2032,6
5522,5503,6
497,3187,6
9828,6783,6
8363,2973,6
3370,1903,6
9395,9369,6
4249,1208,6
10203,10234,6
4316,4052,6
2759,2867,6
721,719,6
3802,3887,6
915,1818,6
5456,5491,6
13638,13627,6
2294,1865,6
3447,3479,6
5954,5744,6
6001,2717,6
4611,4696,6
4364,4339,6
751,739,6
1849,1822,6
5560,2504,6
8260,8262,6
5706,5491,5
7813,7889,5
13579,13215,5
2700,2909,5
3311,3399,5
724,706,5
1044,1007,5
7015,7099,5
7319,8704,5
5500,5491,5
7306,7384,5
4632,6447,5
10267,10548,5
11280,10460,5
6075,2759,5
4066,4395,5
4353,4083,5
2288,2268,5
2223,2236,5
378,376,5
792,761,5
11572,7114,5
6056,3513,5
7860,4283,5
5724,5706,5
3597,3315,5
2965,2935,5
2655,2699,5
4990,5500,5
10478,4483,5
13378,1850,5
5096,8030,5
4552,9834,5
1562,5850,5
5421,5466,5
8353,4451,5
768,771,5
6347,8212,5
8765,9480,5
4988,4903,5
4444,953,5
7859,10243,5
258,8299,5
165,455,5
4945,4346,5
61,3187,5
5490,8068,5
8810,5101,5
2510,2522,5
2258,2640,5
42,13296,5
2926,3418,5
4632,4640,5
831,806,5
2769,2905,5
5964,2993,5
10862,7153,5
3597,1142,5
5503,1715,5
5443,5500,5
4656,4614,5
3523,3535,5
5356,1108,5
6848,6885,5
4025,2789,5
6874,3560,5
755,706,5
6809,6855,5
9366,2125,5
2335,2437,5
9642,9690,5
4042,1371,5
205,274,5
791,706,5
10365,10512,5
1472,229,5
5533,7373,5
6523,12001,5
6084,10346,5
9252,7780,5
8202,439,5
5484,5500,5
4523,5422,5
6908,3102,5
2869,3015,5
7318,8216,5
4630,4665,5
1955,23,5
1369,1337,5
4025,4017,5
8307,8326,5
704,737,5
704,761,5
7082,8297,5
11716,9480,5
2926,1677,5
12582,12553,5
8445,6013,5
4881,4841,5
5484,5423,5
9258,10548,5
7039,3278,5
4066,5495,5
407,2969,5
7711,75,5
3421,3151,5
4565,7685,5
6020,2939,5
211,2554,5
6584,262,5
8158,1613,5
1023,772,5
3947,399,5
5683,9622,5
4016,4052,5
4080,4012,5
6584,1352,5
12906,11513,5
5494,2759,5
5468,5464,5
4611,1853,5
4823,6053,5
650,293,5
928,2789,5
9777,3243,5
2969,2759,5
11600,11535,5
2092,2350,5
8260,3187,5
479,6447,5
5497,871,5
2293,2295,5
9592,9575,5
3184,4551,5
6069,6049,5
7505,1389,5
928,2717,5
10368,211,5
10559,10512,5
1817,5720,5
1542,2608,5
2998,2909,5
2826,3235,5
2478,11746,5
8614,5533,5
1431,8521,5
5494,2717,5
928,5468,5
517,2702,5
4046,4040,5
3104,2600,5
9700,9645,5
1475,6447,5
2255,2293,5
2457,2495,5
2467,2427,5
759,1095,5
2939,407,5
2478,2464,5
3544,4969,5
740,739,5
1013,1001,5
6294,7820,5
751,774,5
3087,1250,5
7810,9030,5
8562,8596,5
3093,6813,5
5240,1753,5
2857,2939,5
5796,6084,5
7220,3356,5
9055,6548,5
5546,9098,5
855,10833,5
2959,4011,5
9225,3934,5
610,624,5
5978,5976,5
4125,5073,5
731,737,5
4209,5100,5
7318,1329,5
10083,6548,5
3309,3399,5
174,2841,5
6016,2773,5
9600,6591,5
5792,2501,5
772,701,5
5491,5443,5
364,355,5
11562,12043,5
10756,10726,5
1337,1371,5
6523,6507,5
5330,4451,5
7598,7584,5
8158,7810,5
10497,8299,5
5934,1608,5
5787,2886,5
10486,10419,5
764,761,5
4339,4399,5
2717,3576,5
3802,10107,5
11910,8084,5
10591,9033,5
746,761,5
10308,798,5
4823,4689,5
9898,10097,5
4066,4399,5
772,764,5
8068,6876,5
5486,5464,5
3635,2427,5
9258,167,5
11871,2437,5
3442,4280,5
3502,3515,5
975,1337,5
11483,611,5
901,1432,5
3575,3528,5
5494,6824,5
4632,4641,5
4969,4316,5
2242,2244,5
7209,1772,5
8353,8030,5
2278,2299,5
13564,712,5
5977,5966,5
10899,10819,5
2458,2498,5
5800,5727,5
9642,187,5
3093,5482,5
4468,5411,5
1666,204,5
4034,1849,5
3104,211,5
2097,1678,5
827,806,5
4080,4346,5
5468,5423,5
9069,1389,5
6418,8073,5
10015,10022,5
9091,368,5
8403,6876,5
5330,7898,5
11280,6317,5
2586,8895,5
727,749,5
6729,3187,5
772,366,5
3078,1769,5
12005,10989,5
2154,2110,5
391,10465,5
4319,1976,5
5380,12841,5
4171,1343,5
8485,6876,5
1073,313,5
6039,3576,5
759,739,5
6294,2886,5
2489,7579,5
12000,11954,5
8808,9300,5
5798,10989,5
5486,5440,5
7706,7809,5
11370,11011,5
4364,4336,5
