Passenger 1 ID,Passenger 2 ID,Number of flights together,From,To
751,760,6,2017-01-01,2017-03-01
1666,1696,6,2017-01-01,2017-03-01
1056,739,6,2017-01-01,2017-03-01
3123,248,6,2017-01-01,2017-03-01
205,255,6,2017-01-01,2017-03-01
721,719,6,2017-01-01,2017-03-01
3447,3479,6,2017-01-01,2017-03-01
751,739,6,2017-01-01,2017-03-01
4373,4339,5,2017-01-01,2017-03-01
3311,3399,5,2017-01-01,2017-03-01
724,706,5,2017-01-01,2017-03-01
2223,2236,5,2017-01-01,2017-03-01
378,376,5,2017-01-01,2017-03-01
792,761,5,2017-01-01,2017-03-01
2655,2699,5,2017-01-01,2017-03-01
768,771,5,2017-01-01,2017-03-01
2510,2522,5,2017-01-01,2017-03-01
4632,4640,5,2017-01-01,2017-03-01
831,806,5,2017-01-01,2017-03-01
4656,4614,5,2017-01-01,2017-03-01
4674,4614,5,2017-01-01,2017-03-01
755,706,5,2017-01-01,2017-03-01
2335,2437,5,2017-01-01,2017-03-01
205,274,5,2017-01-01,2017-03-01
791,706,5,2017-01-01,2017-03-01
704,737,5,2017-01-01,2017-03-01
704,761,5,2017-01-01,2017-03-01
650,293,5,2017-01-01,2017-03-01
2293,2295,5,2017-01-01,2017-03-01
1542,2608,5,2017-01-01,2017-03-01
4046,4040,5,2017-01-01,2017-03-01
2783,1482,5,2017-01-01,2017-03-01
3104,2600,5,2017-01-01,2017-03-01
2255,2293,5,2017-01-01,2017-03-01
2467,2427,5,2017-01-01,2017-03-01
759,1095,5,2017-01-01,2017-03-01
740,739,5,2017-01-01,2017-03-01
1013,1001,5,2017-01-01,2017-03-01
751,774,5,2017-01-01,2017-03-01
610,624,5,2017-01-01,2017-03-01
915,2789,5,2017-01-01,2017-03-01
731,737,5,2017-01-01,2017-03-01
772,701,5,2017-01-01,2017-03-01
364,355,5,2017-01-01,2017-03-01
764,761,5,2017-01-01,2017-03-01
746,761,5,2017-01-01,2017-03-01
772,764,5,2017-01-01,2017-03-01
975,1337,5,2017-01-01,2017-03-01
2242,2244,5,2017-01-01,2017-03-01
2278,2299,5,2017-01-01,2017-03-01
2458,2498,5,2017-01-01,2017-03-01
1666,204,5,2017-01-01,2017-03-01
3104,211,5,2017-01-01,2017-03-01
727,749,5,2017-01-01,2017-03-01
772,366,5,2017-01-01,2017-03-01
915,2969,5,2017-01-01,2017-03-01
1073,313,5,2017-01-01,2017-03-01
759,739,5,2017-01-01,2017-03-01
2992,2972,5,2017-01-01,2017-03-01
740,366,5,2017-01-01,2017-03-01
734,719,5,2017-01-01,2017-03-01
3479,3411,5,2017-01-01,2017-03-01
2458,2427,5,2017-01-01,2017-03-01
364,763,5,2017-01-01,2017-03-01
752,366,5,2017-01-01,2017-03-01
771,740,5,2017-01-01,2017-03-01
2573,2600,5,2017-01-01,2017-03-01
3367,3332,5,2017-01-01,2017-03-01
740,752,5,2017-01-01,2017-03-01
726,739,5,2017-01-01,2017-03-01
364,1053,5,2017-01-01,2017-03-01
2941,2968,5,2017-01-01,2017-03-01
2699,1503,5,2017-01-01,2017-03-01
1001,366,5,2017-01-01,2017-03-01
1269,2667,5,2017-01-01,2017-03-01
544,595,5,2017-01-01,2017-03-01
354,1031,5,2017-01-01,2017-03-01
1066,333,5,2017-01-01,2017-03-01
721,773,5,2017-01-01,2017-03-01
4025,4399,5,2017-01-01,2017-03-01
1484,2789,5,2017-01-01,2017-03-01
324,334,5,2017-01-01,2017-03-01
4046,4057,5,2017-01-01,2017-03-01
746,763,5,2017-01-01,2017-03-01
746,759,5,2017-01-01,2017-03-01
768,759,5,2017-01-01,2017-03-01
248,255,5,2017-01-01,2017-03-01
771,737,5,2017-01-01,2017-03-01
792,759,5,2017-01-01,2017-03-01
3858,3839,5,2017-01-01,2017-03-01
915,407,5,2017-01-01,2017-03-01
1581,333,5,2017-01-01,2017-03-01
369,314,5,2017-01-01,2017-03-01
3444,3414,5,2017-01-01,2017-03-01
4380,4371,5,2017-01-01,2017-03-01
3405,3414,5,2017-01-01,2017-03-01
4611,4665,5,2017-01-01,2017-03-01
364,1029,5,2017-01-01,2017-03-01
772,739,5,2017-01-01,2017-03-01
795,758,5,2017-01-01,2017-03-01
2783,2789,5,2017-01-01,2017-03-01
712,773,5,2017-01-01,2017-03-01
374,1095,5,2017-01-01,2017-03-01
1432,1464,5,2017-01-01,2017-03-01
355,362,5,2017-01-01,2017-03-01
385,1025,5,2017-01-01,2017-03-01
324,366,5,2017-01-01,2017-03-01
1001,1095,5,2017-01-01,2017-03-01
1056,374,5,2017-01-01,2017-03-01
650,606,5,2017-01-01,2017-03-01
1053,368,5,2017-01-01,2017-03-01
3180,255,5,2017-01-01,2017-03-01
266,2573,5,2017-01-01,2017-03-01
799,764,5,2017-01-01,2017-03-01
778,740,5,2017-01-01,2017-03-01
730,737,5,2017-01-01,2017-03-01
2255,2222,5,2017-01-01,2017-03-01
772,751,5,2017-01-01,2017-03-01
2717,1818,5,2017-01-01,2017-03-01
3367,3329,5,2017-01-01,2017-03-01
792,772,5,2017-01-01,2017-03-01
726,737,5,2017-01-01,2017-03-01
293,299,5,2017-01-01,2017-03-01
3169,299,5,2017-01-01,2017-03-01
3104,2531,5,2017-01-01,2017-03-01
1087,1005,5,2017-01-01,2017-03-01
331,1243,5,2017-01-01,2017-03-01
791,773,5,2017-01-01,2017-03-01
4611,4630,5,2017-01-01,2017-03-01
1013,1057,5,2017-01-01,2017-03-01
759,763,5,2017-01-01,2017-03-01
276,212,5,2017-01-01,2017-03-01
215,274,5,2017-01-01,2017-03-01
3904,3906,5,2017-01-01,2017-03-01
724,1053,5,2017-01-01,2017-03-01
792,739,5,2017-01-01,2017-03-01
4060,4069,5,2017-01-01,2017-03-01
2243,2240,5,2017-01-01,2017-03-01
2867,1696,5,2017-01-01,2017-03-01
760,771,5,2017-01-01,2017-03-01
3491,3414,5,2017-01-01,2017-03-01
1581,1576,5,2017-01-01,2017-03-01
650,610,5,2017-01-01,2017-03-01
772,1001,5,2017-01-01,2017-03-01
673,641,5,2017-01-01,2017-03-01
2176,2103,5,2017-01-01,2017-03-01
283,264,5,2017-01-01,2017-03-01
759,740,5,2017-01-01,2017-03-01
3444,3471,5,2017-01-01,2017-03-01
4029,4063,5,2017-01-01,2017-03-01
2221,2222,5,2017-01-01,2017-03-01
945,962,5,2017-01-01,2017-03-01
385,721,5,2017-01-01,2017-03-01
726,749,5,2017-01-01,2017-03-01
752,706,5,2017-01-01,2017-03-01
4611,4700,5,2017-01-01,2017-03-01
792,752,5,2017-01-01,2017-03-01
751,740,5,2017-01-01,2017-03-01
1035,749,5,2017-01-01,2017-03-01
930,2939,5,2017-01-01,2017-03-01
369,333,5,2017-01-01,2017-03-01
768,752,5,2017-01-01,2017-03-01
3447,3411,5,2017-01-01,2017-03-01
4025,4066,5,2017-01-01,2017-03-01
772,733,5,2017-01-01,2017-03-01
385,378,5,2017-01-01,2017-03-01
2278,2245,5,2017-01-01,2017-03-01
3104,275,5,2017-01-01,2017-03-01
3439,3411,5,2017-01-01,2017-03-01
4017,4080,5,2017-01-01,2017-03-01
1842,1828,5,2017-01-01,2017-03-01
2467,2498,5,2017-01-01,2017-03-01
4042,4044,5,2017-01-01,2017-03-01
4607,4614,5,2017-01-01,2017-03-01
739,366,5,2017-01-01,2017-03-01
3439,3479,5,2017-01-01,2017-03-01
709,705,5,2017-01-01,2017-03-01
374,362,5,2017-01-01,2017-03-01
746,366,5,2017-01-01,2017-03-01
392,376,5,2017-01-01,2017-03-01
4359,4377,5,2017-01-01,2017-03-01
746,733,5,2017-01-01,2017-03-01
3145,3116,5,2017-01-01,2017-03-01
704,766,5,2017-01-01,2017-03-01
1056,763,5,2017-01-01,2017-03-01
704,706,5,2017-01-01,2017-03-01
2531,2560,5,2017-01-01,2017-03-01
2284,2295,5,2017-01-01,2017-03-01
4012,4013,5,2017-01-01,2017-03-01
2570,1598,5,2017-01-01,2017-03-01
456,493,5,2017-01-01,2017-03-01
703,739,5,2017-01-01,2017-03-01
2263,2295,5,2017-01-01,2017-03-01
2233,2243,5,2017-01-01,2017-03-01
544,584,5,2017-01-01,2017-03-01
730,739,5,2017-01-01,2017-03-01
2977,2928,5,2017-01-01,2017-03-01
746,774,5,2017-01-01,2017-03-01
1025,381,5,2017-01-01,2017-03-01
751,1001,5,2017-01-01,2017-03-01
2335,2325,5,2017-01-01,2017-03-01
684,255,5,2017-01-01,2017-03-01
768,761,5,2017-01-01,2017-03-01
1013,328,5,2017-01-01,2017-03-01
701,739,5,2017-01-01,2017-03-01
1053,374,5,2017-01-01,2017-03-01
309,376,5,2017-01-01,2017-03-01
701,1095,5,2017-01-01,2017-03-01
915,1696,5,2017-01-01,2017-03-01
2223,2263,5,2017-01-01,2017-03-01
2655,2667,5,2017-01-01,2017-03-01
724,366,5,2017-01-01,2017-03-01
752,1095,5,2017-01-01,2017-03-01
3916,3914,5,2017-01-01,2017-03-01
751,737,5,2017-01-01,2017-03-01
1073,381,5,2017-01-01,2017-03-01
1043,1002,5,2017-01-01,2017-03-01
620,618,5,2017-01-01,2017-03-01
374,763,5,2017-01-01,2017-03-01
734,774,5,2017-01-01,2017-03-01
4080,4399,5,2017-01-01,2017-03-01
2759,1696,5,2017-01-01,2017-03-01
751,749,5,2017-01-01,2017-03-01
2867,1074,5,2017-01-01,2017-03-01
4359,4057,5,2017-01-01,2017-03-01
395,376,5,2017-01-01,2017-03-01
2655,2554,5,2017-01-01,2017-03-01
746,773,5,2017-01-01,2017-03-01
2595,2525,5,2017-01-01,2017-03-01
3955,3906,5,2017-01-01,2017-03-01
2205,2299,5,2017-01-01,2017-03-01
1035,1026,5,2017-01-01,2017-03-01
793,705,5,2017-01-01,2017-03-01
2245,2243,5,2017-01-01,2017-03-01
1025,1029,5,2017-01-01,2017-03-01
740,763,5,2017-01-01,2017-03-01
1391,1337,5,2017-01-01,2017-03-01
771,755,5,2017-01-01,2017-03-01
2510,2600,5,2017-01-01,2017-03-01
1073,1026,5,2017-01-01,2017-03-01
766,739,5,2017-01-01,2017-03-01
4316,4339,5,2017-01-01,2017-03-01
704,763,5,2017-01-01,2017-03-01
1013,1007,5,2017-01-01,2017-03-01
205,248,5,2017-01-01,2017-03-01
768,749,5,2017-01-01,2017-03-01
750,740,5,2017-01-01,2017-03-01
2255,2295,5,2017-01-01,2017-03-01
768,774,5,2017-01-01,2017-03-01
733,752,5,2017-01-01,2017-03-01
4339,4011,5,2017-01-01,2017-03-01
407,2789,5,2017-01-01,2017-03-01
1013,1095,5,2017-01-01,2017-03-01
2273,2284,5,2017-01-01,2017-03-01
726,706,5,2017-01-01,2017-03-01
1947,1971,5,2017-01-01,2017-03-01
772,368,5,2017-01-01,2017-03-01
759,771,5,2017-01-01,2017-03-01
3491,3471,5,2017-01-01,2017-03-01
2674,2699,5,2017-01-01,2017-03-01
746,737,5,2017-01-01,2017-03-01
331,2554,5,2017-01-01,2017-03-01
750,701,5,2017-01-01,2017-03-01
275,274,5,2017-01-01,2017-03-01
4090,4002,5,2017-01-01,2017-03-01
763,706,5,2017-01-01,2017-03-01
1013,355,5,2017-01-01,2017-03-01
3916,3906,5,2017-01-01,2017-03-01
771,716,5,2017-01-01,2017-03-01
1043,1026,5,2017-01-01,2017-03-01
4353,4339,5,2017-01-01,2017-03-01
743,795,5,2017-01-01,2017-03-01
1961,1992,5,2017-01-01,2017-03-01
2407,2427,5,2017-01-01,2017-03-01
2334,2325,5,2017-01-01,2017-03-01
331,2600,5,2017-01-01,2017-03-01
760,701,5,2017-01-01,2017-03-01
3451,3411,5,2017-01-01,2017-03-01
4632,4677,5,2017-01-01,2017-03-01
4016,4059,5,2017-01-01,2017-03-01
610,275,5,2017-01-01,2017-03-01
712,758,5,2017-01-01,2017-03-01
3123,275,5,2017-01-01,2017-03-01
4316,4011,5,2017-01-01,2017-03-01
4380,4387,5,2017-01-01,2017-03-01
792,749,5,2017-01-01,2017-03-01
797,764,5,2017-01-01,2017-03-01
392,366,5,2017-01-01,2017-03-01
2233,2240,5,2017-01-01,2017-03-01
2183,2153,5,2017-01-01,2017-03-01
712,719,5,2017-01-01,2017-03-01
4025,4339,5,2017-01-01,2017-03-01
205,215,5,2017-01-01,2017-03-01
1332,2972,5,2017-01-01,2017-03-01
2857,1696,5,2017-01-01,2017-03-01
2699,1576,5,2017-01-01,2017-03-01
979,910,5,2017-01-01,2017-03-01
4353,4011,5,2017-01-01,2017-03-01
385,1043,5,2017-01-01,2017-03-01
743,773,5,2017-01-01,2017-03-01
4042,4017,5,2017-01-01,2017-03-01
2699,3913,5,2017-01-01,2017-03-01
395,362,5,2017-01-01,2017-03-01
848,804,5,2017-01-01,2017-03-01
1056,716,5,2017-01-01,2017-03-01
1053,1023,5,2017-01-01,2017-03-01
1247,1287,5,2017-01-01,2017-03-01
915,2941,5,2017-01-01,2017-03-01
1023,1001,5,2017-01-01,2017-03-01
2510,2560,5,2017-01-01,2017-03-01
1581,1503,5,2017-01-01,2017-03-01
3678,2437,5,2017-01-01,2017-03-01
3104,205,5,2017-01-01,2017-03-01
731,778,5,2017-01-01,2017-03-01
792,763,5,2017-01-01,2017-03-01
382,376,5,2017-01-01,2017-03-01
4353,4395,5,2017-01-01,2017-03-01
751,766,5,2017-01-01,2017-03-01
793,774,5,2017-01-01,2017-03-01
650,275,5,2017-01-01,2017-03-01
331,1673,5,2017-01-01,2017-03-01
4611,4609,5,2017-01-01,2017-03-01
1013,362,5,2017-01-01,2017-03-01
1371,407,5,2017-01-01,2017-03-01
928,1337,5,2017-01-01,2017-03-01
3940,3906,5,2017-01-01,2017-03-01
760,1095,5,2017-01-01,2017-03-01
1298,1293,5,2017-01-01,2017-03-01
211,3162,5,2017-01-01,2017-03-01
740,1023,5,2017-01-01,2017-03-01
726,716,5,2017-01-01,2017-03-01
4319,4400,5,2017-01-01,2017-03-01
3639,3698,5,2017-01-01,2017-03-01
755,752,5,2017-01-01,2017-03-01
730,752,5,2017-01-01,2017-03-01
793,701,5,2017-01-01,2017-03-01
328,1057,5,2017-01-01,2017-03-01
610,684,5,2017-01-01,2017-03-01
704,749,5,2017-01-01,2017-03-01
752,739,5,2017-01-01,2017-03-01
2178,2106,5,2017-01-01,2017-03-01
385,381,5,2017-01-01,2017-03-01
3639,2427,5,2017-01-01,2017-03-01
792,707,5,2017-01-01,2017-03-01
2178,2197,5,2017-01-01,2017-03-01
724,719,5,2017-01-01,2017-03-01
4083,4011,5,2017-01-01,2017-03-01
1053,763,5,2017-01-01,2017-03-01
3639,3624,5,2017-01-01,2017-03-01
740,1053,5,2017-01-01,2017-03-01
382,1002,5,2017-01-01,2017-03-01
3571,3578,5,2017-01-01,2017-03-01
793,749,5,2017-01-01,2017-03-01
772,755,5,2017-01-01,2017-03-01
215,255,5,2017-01-01,2017-03-01
768,781,5,2017-01-01,2017-03-01
328,1031,5,2017-01-01,2017-03-01
364,739,5,2017-01-01,2017-03-01
2221,2295,5,2017-01-01,2017-03-01
1999,1992,5,2017-01-01,2017-03-01
3440,3490,5,2017-01-01,2017-03-01
701,763,5,2017-01-01,2017-03-01
2183,2106,5,2017-01-01,2017-03-01
709,795,5,2017-01-01,2017-03-01
1043,1057,5,2017-01-01,2017-03-01
1023,374,5,2017-01-01,2017-03-01
341,355,5,2017-01-01,2017-03-01
2407,2498,5,2017-01-01,2017-03-01
1023,368,5,2017-01-01,2017-03-01
3933,3931,5,2017-01-01,2017-03-01
3635,2437,5,2017-01-01,2017-03-01
3681,3679,5,2017-01-01,2017-03-01
746,772,5,2017-01-01,2017-03-01
324,1031,5,2017-01-01,2017-03-01
819,804,5,2017-01-01,2017-03-01
740,1001,5,2017-01-01,2017-03-01
3311,3329,5,2017-01-01,2017-03-01
1013,1023,5,2017-01-01,2017-03-01
724,733,5,2017-01-01,2017-03-01
281,221,5,2017-01-01,2017-03-01
3159,3114,5,2017-01-01,2017-03-01
2178,2183,5,2017-01-01,2017-03-01
1288,3046,5,2017-01-01,2017-03-01
876,847,5,2017-01-01,2017-03-01
1053,366,5,2017-01-01,2017-03-01
1056,3411,5,2017-01-01,2017-03-01
1298,1297,5,2017-01-01,2017-03-01
751,368,5,2017-01-01,2017-03-01
743,786,5,2017-01-01,2017-03-01
734,749,5,2017-01-01,2017-03-01
1484,1337,5,2017-01-01,2017-03-01
4029,4007,5,2017-01-01,2017-03-01
1023,716,5,2017-01-01,2017-03-01
1035,1025,5,2017-01-01,2017-03-01
1247,1014,5,2017-01-01,2017-03-01
274,255,5,2017-01-01,2017-03-01
709,791,5,2017-01-01,2017-03-01
4362,4371,5,2017-01-01,2017-03-01
1269,1287,5,2017-01-01,2017-03-01
740,760,5,2017-01-01,2017-03-01
610,299,5,2017-01-01,2017-03-01
2563,2600,5,2017-01-01,2017-03-01
215,299,5,2017-01-01,2017-03-01
3440,3483,5,2017-01-01,2017-03-01
1986,1992,5,2017-01-01,2017-03-01
281,263,5,2017-01-01,2017-03-01
4020,4040,5,2017-01-01,2017-03-01
266,2554,5,2017-01-01,2017-03-01
4319,4073,5,2017-01-01,2017-03-01
364,381,5,2017-01-01,2017-03-01
4029,4002,5,2017-01-01,2017-03-01
328,362,5,2017-01-01,2017-03-01
760,1053,5,2017-01-01,2017-03-01
2655,1014,5,2017-01-01,2017-03-01
785,749,5,2017-01-01,2017-03-01
2545,2600,5,2017-01-01,2017-03-01
2245,2298,5,2017-01-01,2017-03-01
771,763,5,2017-01-01,2017-03-01
2941,2969,5,2017-01-01,2017-03-01
759,760,5,2017-01-01,2017-03-01
3440,3402,5,2017-01-01,2017-03-01
360,376,5,2017-01-01,2017-03-01
3193,3167,5,2017-01-01,2017-03-01
1051,1038,5,2017-01-01,2017-03-01
2567,2600,5,2017-01-01,2017-03-01
1666,2759,5,2017-01-01,2017-03-01
2199,2197,5,2017-01-01,2017-03-01
915,1314,5,2017-01-01,2017-03-01
4090,4088,5,2017-01-01,2017-03-01
703,737,5,2017-01-01,2017-03-01
771,733,5,2017-01-01,2017-03-01
309,381,5,2017-01-01,2017-03-01
364,368,5,2017-01-01,2017-03-01
3180,299,5,2017-01-01,2017-03-01
797,704,5,2017-01-01,2017-03-01
751,1053,5,2017-01-01,2017-03-01
3380,3360,5,2017-01-01,2017-03-01
4309,4339,5,2017-01-01,2017-03-01
2857,1074,5,2017-01-01,2017-03-01
3444,3402,5,2017-01-01,2017-03-01
1013,1021,5,2017-01-01,2017-03-01
1056,760,5,2017-01-01,2017-03-01
2467,2325,5,2017-01-01,2017-03-01
309,313,5,2017-01-01,2017-03-01
275,255,5,2017-01-01,2017-03-01
2531,2554,5,2017-01-01,2017-03-01
3104,440,5,2017-01-01,2017-03-01
4388,4013,5,2017-01-01,2017-03-01
385,778,5,2017-01-01,2017-03-01
1581,1569,5,2017-01-01,2017-03-01
915,2717,5,2017-01-01,2017-03-01
3654,3624,5,2017-01-01,2017-03-01
751,752,5,2017-01-01,2017-03-01
324,354,5,2017-01-01,2017-03-01
126,2427,5,2017-01-01,2017-03-01
4066,4011,5,2017-01-01,2017-03-01
3635,3648,5,2017-01-01,2017-03-01
2248,2298,5,2017-01-01,2017-03-01
2123,2106,5,2017-01-01,2017-03-01
1056,362,5,2017-01-01,2017-03-01
4675,4614,5,2017-01-01,2017-03-01
431,401,5,2017-01-01,2017-03-01
4359,4361,5,2017-01-01,2017-03-01
4632,4643,5,2017-01-01,2017-03-01
385,308,5,2017-01-01,2017-03-01
793,740,5,2017-01-01,2017-03-01
792,791,5,2017-01-01,2017-03-01
4316,4083,5,2017-01-01,2017-03-01
4309,4399,5,2017-01-01,2017-03-01
750,774,5,2017-01-01,2017-03-01
792,764,5,2017-01-01,2017-03-01
774,719,5,2017-01-01,2017-03-01
721,752,5,2017-01-01,2017-03-01
2245,2246,5,2017-01-01,2017-03-01
773,381,5,2017-01-01,2017-03-01
243,254,5,2017-01-01,2017-03-01
1300,299,5,2017-01-01,2017-03-01
2467,130,5,2017-01-01,2017-03-01
709,760,5,2017-01-01,2017-03-01
771,752,5,2017-01-01,2017-03-01
4025,4016,5,2017-01-01,2017-03-01
755,740,5,2017-01-01,2017-03-01
4025,4009,5,2017-01-01,2017-03-01
1322,1337,5,2017-01-01,2017-03-01
3104,3109,5,2017-01-01,2017-03-01
3620,3624,5,2017-01-01,2017-03-01
4029,4069,5,2017-01-01,2017-03-01
4042,4011,5,2017-01-01,2017-03-01
2912,2905,5,2017-01-01,2017-03-01
941,988,5,2017-01-01,2017-03-01
1666,2511,5,2017-01-01,2017-03-01
3193,3151,5,2017-01-01,2017-03-01
2783,1818,5,2017-01-01,2017-03-01
3173,3171,5,2017-01-01,2017-03-01
2969,1696,5,2017-01-01,2017-03-01
293,490,5,2017-01-01,2017-03-01
3675,2437,5,2017-01-01,2017-03-01
364,1023,5,2017-01-01,2017-03-01
4053,4011,5,2017-01-01,2017-03-01
750,731,5,2017-01-01,2017-03-01
801,868,5,2017-01-01,2017-03-01
4025,4052,5,2017-01-01,2017-03-01
3871,3839,5,2017-01-01,2017-03-01
905,910,5,2017-01-01,2017-03-01
724,771,5,2017-01-01,2017-03-01
4080,4044,5,2017-01-01,2017-03-01
3681,3624,5,2017-01-01,2017-03-01
2334,2315,5,2017-01-01,2017-03-01
2221,2279,5,2017-01-01,2017-03-01
4053,4083,5,2017-01-01,2017-03-01
374,368,5,2017-01-01,2017-03-01
